station,month,wdsp
ATHENRY,1,7.62884024577573
ATHENRY,2,8.587467362924283
ATHENRY,3,7.751702508960573
ATHENRY,4,7.3925
ATHENRY,5,7.362903225806452
ATHENRY,6,6.852037037037037
ATHENRY,7,6.415806943572262
ATHENRY,8,6.73252688172043
ATHENRY,9,6.704180958561231
ATHENRY,10,7.117831541218638
ATHENRY,11,6.958796296296296
ATHENRY,12,7.909090909090909
BALLYHAISE,1,7.420698924731183
BALLYHAISE,2,7.41912177328844
BALLYHAISE,3,7.161098310291859
BALLYHAISE,4,6.459589947089947
BALLYHAISE,5,6.231160306326019
BALLYHAISE,6,5.60542328042328
BALLYHAISE,7,5.340319554951808
BALLYHAISE,8,5.73259483480389
BALLYHAISE,9,5.954876273653566
BALLYHAISE,10,6.293819530284302
BALLYHAISE,11,6.653863162549751
BALLYHAISE,12,7.235998705082551
BELMULLET,1,14.5305686782234
BELMULLET,2,14.104589623460004
BELMULLET,3,13.556787634408602
BELMULLET,4,12.046711601307189
BELMULLET,5,11.825664136622391
BELMULLET,6,11.492483660130718
BELMULLET,7,11.014073371283997
BELMULLET,8,11.112369544592031
BELMULLET,9,12.155765135381808
BELMULLET,10,13.25
BELMULLET,11,13.235648148148147
BELMULLET,12,14.175043978415987
CLAREMORRIS,1,9.46207267833109
CLAREMORRIS,2,9.67309167437012
CLAREMORRIS,3,9.735305726998709
CLAREMORRIS,4,8.792279582258992
CLAREMORRIS,5,8.390572269691965
CLAREMORRIS,6,7.880404527741696
CLAREMORRIS,7,7.496036585365854
CLAREMORRIS,8,7.3862360561353
CLAREMORRIS,9,7.923078349215766
CLAREMORRIS,10,8.538027209664987
CLAREMORRIS,11,8.484616666975382
CLAREMORRIS,12,9.300672116257948
DUNSANY,1,9.052942054958184
DUNSANY,2,9.222085789129011
DUNSANY,3,8.727747909199522
DUNSANY,4,7.790354938271605
DUNSANY,5,7.828398965219891
DUNSANY,6,7.0295537673738115
DUNSANY,7,6.855263157894737
DUNSANY,8,7.363893604980192
DUNSANY,9,7.232602339181287
DUNSANY,10,7.747311827956989
DUNSANY,11,8.110542102567853
DUNSANY,12,9.025983722840289
FINNER,1,12.171188475390156
FINNER,2,12.679420719163993
FINNER,3,10.919663005867308
FINNER,4,10.187118224696512
FINNER,5,9.713570797762731
FINNER,6,9.354733074404082
FINNER,7,8.747487891274488
FINNER,8,9.202183437477554
FINNER,9,9.66040473463154
FINNER,10,10.859448554135843
FINNER,11,10.811875367430924
FINNER,12,12.59527559055118
GURTEEN,1,8.987315188172044
GURTEEN,2,9.71469816272966
GURTEEN,3,8.966793168880455
GURTEEN,4,8.18374183006536
GURTEEN,5,8.001502213788742
GURTEEN,6,7.278528713033506
GURTEEN,7,7.158839342188489
GURTEEN,8,7.731182795698925
GURTEEN,9,7.4887236476548455
GURTEEN,10,8.146268184693232
GURTEEN,11,8.43080065359477
GURTEEN,12,9.180512389752204
JOHNSTOWN CASTLE 2,1,8.989051094890511
JOHNSTOWN CASTLE 2,2,9.152737752161384
JOHNSTOWN CASTLE 2,3,8.704429083461342
JOHNSTOWN CASTLE 2,4,7.878174603174603
JOHNSTOWN CASTLE 2,5,7.783410138248848
JOHNSTOWN CASTLE 2,6,7.233399470899471
JOHNSTOWN CASTLE 2,7,7.078142182547383
JOHNSTOWN CASTLE 2,8,7.336673097268031
JOHNSTOWN CASTLE 2,9,7.389293139293139
JOHNSTOWN CASTLE 2,10,8.164424975320829
JOHNSTOWN CASTLE 2,11,8.473973468098547
JOHNSTOWN CASTLE 2,12,9.218009172534074
MACE HEAD,1,16.548195084485407
MACE HEAD,2,16.048751402918068
MACE HEAD,3,14.71831797235023
MACE HEAD,4,12.83108697109904
MACE HEAD,5,13.090181771633384
MACE HEAD,6,12.11626984126984
MACE HEAD,7,12.041847228510445
MACE HEAD,8,13.188103394581127
MACE HEAD,9,14.112183668145056
MACE HEAD,10,15.191664093856128
MACE HEAD,11,16.232555197064592
MACE HEAD,12,17.555677916693657
MALIN HEAD,1,18.07517141966651
MALIN HEAD,2,17.649017094017093
MALIN HEAD,3,16.687061711079945
MALIN HEAD,4,14.299013687600644
MALIN HEAD,5,13.222680927053132
MALIN HEAD,6,12.484662698412698
MALIN HEAD,7,12.079339477726574
MALIN HEAD,8,12.488006458061044
MALIN HEAD,9,14.484960317460317
MALIN HEAD,10,16.410291858678956
MALIN HEAD,11,17.10825396825397
MALIN HEAD,12,17.87276233515788
MOORE PARK,1,6.220558115719406
MOORE PARK,2,6.667368125701459
MOORE PARK,3,6.646859191906256
MOORE PARK,4,6.271825396825397
MOORE PARK,5,6.065795403334835
MOORE PARK,6,5.66765873015873
MOORE PARK,7,5.476016445865692
MOORE PARK,8,5.500620578379049
MOORE PARK,9,5.3395755305867665
MOORE PARK,10,5.551749630359783
MOORE PARK,11,5.872390529531568
MOORE PARK,12,6.300187253825789
MT DILLON,1,7.791423001949318
MT DILLON,2,7.906183053852405
MT DILLON,3,7.820900537634409
MT DILLON,4,7.3325
MT DILLON,5,7.369299371664077
MT DILLON,6,6.556351248001112
MT DILLON,7,6.2670815857123525
MT DILLON,8,6.526046229530292
MT DILLON,9,6.629018245004344
MT DILLON,10,6.832117255504352
MT DILLON,11,6.996227414124032
MT DILLON,12,7.573014057980763
MULLINGAR,1,8.528138756359228
MULLINGAR,2,8.539122137404581
MULLINGAR,3,8.47904807084124
MULLINGAR,4,7.332779563157034
MULLINGAR,5,6.9512966476913345
MULLINGAR,6,6.3885862162898395
MULLINGAR,7,6.209231823693784
